timestamp,src_mac,dst_mac,src_ip,src_port,dst_ip,dst_port,payload_sum,payload_len,Anomaly,Anomaly_Score
Thu Mar 20 23:55:44 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,80387.0,667.0,True,0.01272474709184807
Thu Mar 20 23:55:44 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,20443.0,176.0,False,0.008936541124084955
Thu Mar 20 23:55:44 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,8039.0,85.0,False,0.00822386065159661
Thu Mar 20 23:55:44 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,5265.0,60.0,False,0.00638497160655514
Thu Mar 20 23:55:44 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,9310.0,89.0,False,0.007358619704372099
Thu Mar 20 23:55:44 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4755.0,60.0,False,0.004707977494416993
Thu Mar 20 23:55:49 2025,6a:61:ab:9d:ff:79,ff:ff:ff:ff:ff:ff,255.121.192.168,0.0,135.90.0.0,0.0,4620.0,60.0,True,0.0245121696778271
Thu Mar 20 23:55:49 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,86.112.192.168,0.0,135.162.106.97,0.0,4439.0,60.0,True,0.026613207207840255
Thu Mar 20 23:55:54 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,12602.0,112.0,False,0.008969870157568184
Thu Mar 20 23:55:54 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4755.0,60.0,False,0.004707977494416993
Thu Mar 20 23:55:54 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54177.0,7313.0,81.0,False,0.007656222576991251
Thu Mar 20 23:55:54 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54177.0,104.18.26.48,443.0,8839.0,85.0,False,0.007371299607353609
Thu Mar 20 23:55:54 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,60908.0,511.0,True,0.013575605670022228
Thu Mar 20 23:55:54 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,19168.0,176.0,False,0.009691610018454883
Thu Mar 20 23:55:54 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,8294.0,85.0,False,0.008309316180093729
Thu Mar 20 23:55:54 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,5520.0,60.0,False,0.006225309170852893
Thu Mar 20 23:55:54 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54177.0,4790.0,60.0,False,0.004677986923114665
Thu Mar 20 23:55:54 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,9055.0,89.0,False,0.007322109227454097
Thu Mar 20 23:55:54 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4500.0,60.0,False,0.004964366011026438
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,52506.0,192.168.135.90,53.0,6407.0,77.0,False,0.005748172972576152
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,53452.0,192.168.135.90,53.0,6407.0,77.0,False,0.006645121353094666
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,89568.0,701.0,True,0.012442596590187932
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,9851.0,93.0,False,0.007310612540118131
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,129531.0,1028.0,True,0.012007902097489092
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,170005.0,1354.0,False,0.010294751554527751
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,78932.0,627.0,False,0.010540918485306994
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,76472.0,628.0,False,0.005843362305090493
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,29683.0,242.0,False,0.003703696400704336
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,59133.0,192.168.135.90,53.0,7165.0,84.0,False,0.007343357370410138
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,55779.0,192.168.135.90,53.0,7420.0,84.0,False,0.007931016703900975
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,49184.0,192.168.135.90,53.0,7165.0,84.0,False,0.006751670644775069
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,49666.0,192.168.135.90,53.0,7165.0,84.0,False,0.0060810752251758285
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54175.0,5045.0,60.0,False,0.004774398340070837
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54175.0,5045.0,60.0,False,0.004774398340070837
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54175.0,9341.0,93.0,False,0.00919990992115219
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,52506.0,7905.0,109.0,False,0.0047506301953949455
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,53452.0,8915.0,119.0,False,0.005556890390967156
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54175.0,5045.0,60.0,False,0.004774398340070837
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54177.0,104.18.26.48,443.0,8330.0,84.0,False,0.007273417362775766
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54177.0,104.18.26.48,443.0,5555.0,60.0,False,0.006233778252474918
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,59133.0,9175.0,114.0,False,0.003857237559772396
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,55779.0,12441.0,163.0,False,0.006858060346795108
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,49184.0,8424.0,100.0,False,0.006394837697728763
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54179.0,20.204.244.192,443.0,0.0,0.0,True,0.018570229801847093
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,49666.0,12946.0,168.0,False,0.003630819023245147
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,65260.0,34.160.164.47,443.0,161942.0,1292.0,True,0.017634901366431716
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,65260.0,34.160.164.47,443.0,160157.0,1292.0,True,0.018007085155741284
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,9441.0,84.0,False,0.004854835875520041
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,5646.0,60.0,False,0.0038654214199797866
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54177.0,4790.0,60.0,False,0.0046779949945769785
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54177.0,4790.0,60.0,False,0.0046779949945769785
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54177.0,104.18.26.48,443.0,5555.0,60.0,False,0.006233778252474918
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,5810.0,60.0,False,0.006072371816668839
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,10110.0,89.0,False,0.007437401213722522
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54175.0,5045.0,60.0,False,0.004774398340070837
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,34.160.164.47,443.0,192.168.135.162,65260.0,8877.0,82.0,True,0.013547030407808351
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,34.160.164.47,443.0,192.168.135.162,65260.0,163982.0,1292.0,True,0.015488410290398458
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,34.160.164.47,443.0,192.168.135.162,65260.0,166532.0,1292.0,True,0.017425988140950557
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,34.160.164.47,443.0,192.168.135.162,65260.0,167042.0,1292.0,True,0.017823708618024407
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,65260.0,34.160.164.47,443.0,8878.0,81.0,True,0.015985283342324012
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,9855.0,89.0,False,0.007426805519889594
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,34.160.164.47,443.0,192.168.135.162,65260.0,164237.0,1292.0,True,0.015680987409692135
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,65260.0,34.160.164.47,443.0,8877.0,82.0,True,0.016011417994311238
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,34.160.164.47,443.0,192.168.135.162,65260.0,73386.0,598.0,True,0.018877372271357277
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,65260.0,34.160.164.47,443.0,8367.0,82.0,True,0.015896797106574382
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,20.204.244.192,443.0,192.168.135.162,54179.0,0.0,0.0,True,0.016052247843057834
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54179.0,20.204.244.192,443.0,5856.0,60.0,True,0.012532123600130897
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54179.0,20.204.244.192,443.0,157811.0,1354.0,True,0.02345008871276767
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54179.0,20.204.244.192,443.0,46987.0,488.0,True,0.01730696108672807
